"locale","name","region","state","SA1_MAINCO","SA1_7DIGIT","SA2_MAINCO"
"adelaide","Adelaide","GCCSA","SA",40102100413,4100413,401021004
"adelaide","Adelaide","GCCSA","SA",40102100414,4100414,401021004
"adelaide","Adelaide","GCCSA","SA",40102100415,4100415,401021004
"adelaide","Adelaide","GCCSA","SA",40102100416,4100416,401021004
"adelaide","Adelaide","GCCSA","SA",40102100417,4100417,401021004
"adelaide","Adelaide","GCCSA","SA",40102100418,4100418,401021004
"adelaide","Adelaide","GCCSA","SA",40102100419,4100419,401021004
"adelaide","Adelaide","GCCSA","SA",40102100420,4100420,401021004
"adelaide","Adelaide","GCCSA","SA",40102100421,4100421,401021004
"adelaide","Adelaide","GCCSA","SA",40102100422,4100422,401021004
"adelaide","Adelaide","GCCSA","SA",40102100423,4100423,401021004
"adelaide","Adelaide","GCCSA","SA",40102100424,4100424,401021004
"adelaide","Adelaide","GCCSA","SA",40102100425,4100425,401021004
"adelaide","Adelaide","GCCSA","SA",40102100426,4100426,401021004
"adelaide","Adelaide","GCCSA","SA",40102100427,4100427,401021004
"adelaide","Adelaide","GCCSA","SA",40102100428,4100428,401021004
"adelaide","Adelaide","GCCSA","SA",40102100429,4100429,401021004
"adelaide","Adelaide","GCCSA","SA",40102100430,4100430,401021004
"adelaide","Adelaide","GCCSA","SA",40102100431,4100431,401021004
"adelaide","Adelaide","GCCSA","SA",40102100432,4100432,401021004
"adelaide","Adelaide","GCCSA","SA",40102100433,4100433,401021004
"adelaide","Adelaide","GCCSA","SA",40102100434,4100434,401021004
"adelaide","Adelaide","GCCSA","SA",40102100435,4100435,401021004
"adelaide","Adelaide","GCCSA","SA",40102100436,4100436,401021004
"adelaide","Adelaide","GCCSA","SA",40102100437,4100437,401021004
"adelaide","Adelaide","GCCSA","SA",40102100438,4100438,401021004
"adelaide","Adelaide","GCCSA","SA",40102100439,4100439,401021004
"adelaide","Adelaide","GCCSA","SA",40102100440,4100440,401021004
"adelaide","Adelaide","GCCSA","SA",40102100441,4100441,401021004
"adelaide","Adelaide","GCCSA","SA",40102100442,4100442,401021004
"adelaide","Adelaide","GCCSA","SA",40102100443,4100443,401021004
"adelaide","Adelaide","GCCSA","SA",40102100444,4100444,401021004
"adelaide","Adelaide","GCCSA","SA",40102100445,4100445,401021004
"adelaide","Adelaide","GCCSA","SA",40102100446,4100446,401021004
"adelaide","Adelaide","GCCSA","SA",40102100447,4100447,401021004
"adelaide","Adelaide","GCCSA","SA",40102100501,4100501,401021005
"adelaide","Adelaide","GCCSA","SA",40102100502,4100502,401021005
"adelaide","Adelaide","GCCSA","SA",40102100503,4100503,401021005
"adelaide","Adelaide","GCCSA","SA",40102100504,4100504,401021005
"adelaide","Adelaide","GCCSA","SA",40102100505,4100505,401021005
"adelaide","Adelaide","GCCSA","SA",40102100506,4100506,401021005
"adelaide","Adelaide","GCCSA","SA",40102100507,4100507,401021005
"adelaide","Adelaide","GCCSA","SA",40102100508,4100508,401021005
"adelaide","Adelaide","GCCSA","SA",40102100509,4100509,401021005
"adelaide","Adelaide","GCCSA","SA",40102100510,4100510,401021005
"adelaide","Adelaide","GCCSA","SA",40102100511,4100511,401021005
"adelaide","Adelaide","GCCSA","SA",40102100512,4100512,401021005
"adelaide","Adelaide","GCCSA","SA",40102100513,4100513,401021005
"adelaide","Adelaide","GCCSA","SA",40102100514,4100514,401021005
"adelaide","Adelaide","GCCSA","SA",40102100601,4100601,401021006
"adelaide","Adelaide","GCCSA","SA",40102100602,4100602,401021006
"adelaide","Adelaide","GCCSA","SA",40102100603,4100603,401021006
"adelaide","Adelaide","GCCSA","SA",40102100604,4100604,401021006
"adelaide","Adelaide","GCCSA","SA",40102100605,4100605,401021006
"adelaide","Adelaide","GCCSA","SA",40102100606,4100606,401021006
"adelaide","Adelaide","GCCSA","SA",40102100607,4100607,401021006
"adelaide","Adelaide","GCCSA","SA",40102100608,4100608,401021006
"adelaide","Adelaide","GCCSA","SA",40102100609,4100609,401021006
"adelaide","Adelaide","GCCSA","SA",40102100610,4100610,401021006
"adelaide","Adelaide","GCCSA","SA",40102100611,4100611,401021006
"adelaide","Adelaide","GCCSA","SA",40102100612,4100612,401021006
"adelaide","Adelaide","GCCSA","SA",40102100613,4100613,401021006
"adelaide","Adelaide","GCCSA","SA",40102100614,4100614,401021006
"adelaide","Adelaide","GCCSA","SA",40102100615,4100615,401021006
"adelaide","Adelaide","GCCSA","SA",40102100616,4100616,401021006
"adelaide","Adelaide","GCCSA","SA",40102100617,4100617,401021006
"adelaide","Adelaide","GCCSA","SA",40102100618,4100618,401021006
"adelaide","Adelaide","GCCSA","SA",40102100619,4100619,401021006
"adelaide","Adelaide","GCCSA","SA",40102100620,4100620,401021006
"adelaide","Adelaide","GCCSA","SA",40102100621,4100621,401021006
"adelaide","Adelaide","GCCSA","SA",40102100622,4100622,401021006
"adelaide","Adelaide","GCCSA","SA",40102100623,4100623,401021006
"adelaide","Adelaide","GCCSA","SA",40102100624,4100624,401021006
"adelaide","Adelaide","GCCSA","SA",40102100625,4100625,401021006
"adelaide","Adelaide","GCCSA","SA",40102100701,4100701,401021007
"adelaide","Adelaide","GCCSA","SA",40102100702,4100702,401021007
"adelaide","Adelaide","GCCSA","SA",40102100703,4100703,401021007
"adelaide","Adelaide","GCCSA","SA",40102100705,4100705,401021007
"adelaide","Adelaide","GCCSA","SA",40102100706,4100706,401021007
"adelaide","Adelaide","GCCSA","SA",40102100707,4100707,401021007
"adelaide","Adelaide","GCCSA","SA",40102100708,4100708,401021007
"adelaide","Adelaide","GCCSA","SA",40102100709,4100709,401021007
"adelaide","Adelaide","GCCSA","SA",40102100710,4100710,401021007
"adelaide","Adelaide","GCCSA","SA",40102100713,4100713,401021007
"adelaide","Adelaide","GCCSA","SA",40102100714,4100714,401021007
"adelaide","Adelaide","GCCSA","SA",40102100715,4100715,401021007
"adelaide","Adelaide","GCCSA","SA",40102100717,4100717,401021007
"adelaide","Adelaide","GCCSA","SA",40102100718,4100718,401021007
"adelaide","Adelaide","GCCSA","SA",40102100719,4100719,401021007
"adelaide","Adelaide","GCCSA","SA",40102100720,4100720,401021007
"adelaide","Adelaide","GCCSA","SA",40102100721,4100721,401021007
"adelaide","Adelaide","GCCSA","SA",40102100722,4100722,401021007
"adelaide","Adelaide","GCCSA","SA",40102100723,4100723,401021007
"adelaide","Adelaide","GCCSA","SA",40102100725,4100725,401021007
"adelaide","Adelaide","GCCSA","SA",40102100726,4100726,401021007
"adelaide","Adelaide","GCCSA","SA",40102100727,4100727,401021007
"adelaide","Adelaide","GCCSA","SA",40102100729,4100729,401021007
"adelaide","Adelaide","GCCSA","SA",40102100730,4100730,401021007
"adelaide","Adelaide","GCCSA","SA",40102100731,4100731,401021007
"adelaide","Adelaide","GCCSA","SA",40102100732,4100732,401021007
"adelaide","Adelaide","GCCSA","SA",40102100735,4100735,401021007
"adelaide","Adelaide","GCCSA","SA",40102100736,4100736,401021007
"adelaide","Adelaide","GCCSA","SA",40102100737,4100737,401021007
"adelaide","Adelaide","GCCSA","SA",40102100738,4100738,401021007
"adelaide","Adelaide","GCCSA","SA",40102100739,4100739,401021007
"adelaide","Adelaide","GCCSA","SA",40102100740,4100740,401021007
"adelaide","Adelaide","GCCSA","SA",40102100743,4100743,401021007
"adelaide","Adelaide","GCCSA","SA",40102100744,4100744,401021007
"adelaide","Adelaide","GCCSA","SA",40102100748,4100748,401021007
"adelaide","Adelaide","GCCSA","SA",40102100749,4100749,401021007
"adelaide","Adelaide","GCCSA","SA",40102100750,4100750,401021007
"adelaide","Adelaide","GCCSA","SA",40102100751,4100751,401021007
"adelaide","Adelaide","GCCSA","SA",40102100752,4100752,401021007
"adelaide","Adelaide","GCCSA","SA",40102100753,4100753,401021007
"adelaide","Adelaide","GCCSA","SA",40102100754,4100754,401021007
"adelaide","Adelaide","GCCSA","SA",40102100757,4100757,401021007
"adelaide","Adelaide","GCCSA","SA",40102100758,4100758,401021007
"adelaide","Adelaide","GCCSA","SA",40102100801,4100801,401021008
"adelaide","Adelaide","GCCSA","SA",40102100804,4100804,401021008
"adelaide","Adelaide","GCCSA","SA",40102100805,4100805,401021008
"adelaide","Adelaide","GCCSA","SA",40102100806,4100806,401021008
"adelaide","Adelaide","GCCSA","SA",40102100807,4100807,401021008
"adelaide","Adelaide","GCCSA","SA",40102100808,4100808,401021008
"adelaide","Adelaide","GCCSA","SA",40102100809,4100809,401021008
"adelaide","Adelaide","GCCSA","SA",40102100810,4100810,401021008
"adelaide","Adelaide","GCCSA","SA",40102100811,4100811,401021008
"adelaide","Adelaide","GCCSA","SA",40102100812,4100812,401021008
"adelaide","Adelaide","GCCSA","SA",40102100813,4100813,401021008
"adelaide","Adelaide","GCCSA","SA",40102100814,4100814,401021008
"adelaide","Adelaide","GCCSA","SA",40102100815,4100815,401021008
"adelaide","Adelaide","GCCSA","SA",40102100817,4100817,401021008
"adelaide","Adelaide","GCCSA","SA",40102100818,4100818,401021008
