"type","mean_time","mean_dist","mean_speed","mean_dist_30_min","mean_dist_30_min2","max_count"
"Walking",12.1126373626374,0.855148898428827,4.53920760670351,2.26960380335175,2.27,1061
"Cycling",30.1644295302013,6.5951483454939,13.0991163115816,6.54955815579078,6.55,33
"Public transport",59.3220088626292,20.0859716780759,18.7901726851943,9.39508634259716,5.89,81
"Driving",28.8068783068783,15.6604169269554,30.4000513873173,15.2000256936586,15.48,740
