"city","mode","Nil distance","Over 0 km  to less than 0.5 km","0.5 km to less than 1 km","1 km to less than 1.5 km","1.5 km to less than 2 km","2 km to less than 2.5 km","2.5 km to less than 3 km","3 km to less than 4 km","4 km to less than 5 km","5 km to less than 6 km","6 km to less than 7 km","7 km to less than 8 km","8 km to less than 9 km","9 km to less than 10 km","10 km to less than 11 km","11 km to less than 12 km","12 km to less than 13 km","13 km to less than 14 km","14 km to less than 15 km","15 km to less than 16 km","16 km to less than 17 km","17 km to less than 18 km","18 km to less than 19 km","19 km to less than 20 km","20 km to less than 21 km","21 km to less than 22 km","22 km to less than 23 km","23 km to less than 24 km","24 km to less than 25 km","25 km to less than 26 km","26 km to less than 27 km","27 km to less than 28 km","28 km to less than 29 km","29 km to less than 30 km","30 km to less than 32 km","32 km to less than 34 km","34 km to less than 36 km","36 km to less than 38 km","38 km to less than 40 km","40 km to less than 42 km","42 km to less than 44 km","44 km to less than 46 km","46 km to less than 48 km","48 km to less than 50 km","50 km to less than 52 km","52 km to less than 54 km","54 km to less than 56 km","56 km to less than 58 km","58 km to less than 60 km","60 km to less than 62 km","62 km to less than 64 km","64 km to less than 66 km","66 km to less than 68 km","68 km to less than 70 km","70 km to less than 72 km","72 km to less than 74 km","74 km to less than 76 km","76 km to less than 78 km","78 km to less than 80 km","80 km to less than 85 km","85 km to less than 90 km","90 km to less than 95 km","95 km to less than 100km","100 km to less than 110 km","110 km to less than 120 km","120 km to less than 130 km","130 km to less than 140 km","140 km to less than 150 km","150 km to less than 200 km","200 km to less than 250 km","250 km to less than 300 km","300 km to less than 350 km","350 km to less than 400 km","400 km to less than 600 km","600 km to less than 800 km","800 km to less than 1000 km","1000 km to less than 3000 km","3000 km and over","Not applicable",
,"BIKE",287,236,537,957,1218,1470,1529,3275,3163,2857,2479,2244,1775,1344,1013,724,688,572,427,333,281,251,212,155,151,143,116,87,81,66,58,57,51,37,67,43,21,24,22,24,8,13,13,4,4,0,0,0,3,9,3,0,4,0,3,0,0,0,3,4,4,0,0,3,9,4,0,4,0,8,5,5,5,4,33,40,23,34,433,
,"WALK",3082,8199,11908,10697,8008,5495,3415,3744,1800,960,556,344,220,188,165,121,138,102,108,83,76,61,59,56,80,67,53,51,45,32,46,33,42,33,61,47,35,39,22,26,34,32,24,25,16,14,16,12,5,8,8,10,8,14,3,16,8,12,9,11,23,15,10,19,26,14,32,31,103,170,67,32,75,126,199,400,279,216,814,
"Albury_Wodonga","PT",3,0,0,5,4,15,10,32,29,34,25,25,4,15,19,3,10,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,16,0,0,8,23,7,
,"CAR",775,222,445,839,1131,1308,1496,2955,2775,2338,2123,1814,1522,1680,1344,1179,996,826,724,623,533,420,323,227,156,150,108,87,49,54,37,47,37,52,82,70,97,86,87,46,45,70,57,54,35,37,51,49,37,38,37,41,32,30,28,38,27,19,14,27,15,22,10,31,30,60,34,20,36,24,52,200,21,99,14,19,47,23,1196,
,"BIKE",3,6,12,22,19,33,33,44,45,24,18,15,13,8,14,6,9,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,
,"WALK",50,106,169,167,125,389,88,90,33,22,19,6,11,4,3,5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,0,0,0,8,0,20,5,12,0,0,11,6,19,
"Geelong","PT",54,17,9,17,46,72,82,186,173,161,168,135,96,87,64,74,43,29,31,19,35,31,18,24,24,33,32,29,11,8,3,13,6,8,12,9,5,4,4,5,4,4,6,12,15,14,19,63,146,149,83,80,85,138,260,371,397,378,321,375,102,371,282,84,11,0,3,0,4,0,0,0,0,5,4,18,6,116,127,
,"CAR",2104,674,1069,1721,2157,2513,2701,5299,4677,4487,4254,3625,3072,2568,2575,2435,1888,1452,1308,1273,1226,1138,1025,1151,1337,1413,1412,1309,977,698,610,603,567,453,668,443,291,286,265,266,271,321,313,302,311,297,305,315,322,320,316,327,347,354,393,372,406,436,371,796,572,648,578,532,287,77,21,21,76,83,44,29,16,15,33,96,96,67,4457,
,"BIKE",13,26,30,76,82,102,77,109,83,58,51,26,26,27,10,12,6,4,5,0,9,9,4,0,8,4,3,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,
,"WALK",195,408,487,443,366,198,113,122,62,45,19,13,8,10,11,3,0,0,3,5,0,3,0,5,0,4,0,5,4,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,14,5,3,9,5,12,18,17,6,0,0,0,12,11,10,21,3,15,16,15,17,14,52,
"Mackay","PT",0,0,7,3,6,10,10,15,10,16,14,14,20,7,14,5,9,3,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,19,33,16,46,0,22,25,27,144,122,40,4,14,11,0,19,43,37,36,
,"CAR",688,153,366,618,698,811,959,2049,2015,1852,1997,1613,1414,1237,1090,1041,1054,797,864,878,686,430,338,289,228,139,54,45,29,36,45,43,41,59,101,86,115,110,130,92,68,57,61,35,51,17,12,19,8,10,12,12,7,3,5,3,0,0,6,16,35,47,68,95,3,40,41,61,392,664,145,111,153,105,46,193,213,25,975,
,"BIKE",0,3,15,28,21,33,27,56,37,22,29,9,16,16,13,4,11,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,
,"WALK",75,87,132,89,78,54,29,49,16,13,4,3,5,4,7,0,6,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,5,4,0,6,0,4,20,13,5,3,4,0,0,12,20,8,19,
"Sunshine_Coast","PT",56,8,11,22,39,27,44,97,107,114,127,79,94,90,86,55,57,48,48,44,39,49,37,18,23,18,28,9,6,9,7,8,10,4,16,9,8,13,12,3,3,3,3,3,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,15,100,236,144,82,52,34,27,9,12,3,9,5,9,56,24,149,117,283,84,
,"CAR",3961,723,1094,1609,2034,2214,2263,4753,4824,4565,3983,3658,3680,3464,3308,2755,2530,2267,2100,2162,2225,2235,2098,1942,1651,1344,1401,1255,1178,984,861,853,799,752,1285,1148,966,870,719,550,445,393,416,355,326,257,273,235,207,177,159,162,167,132,169,154,142,116,133,326,534,758,565,701,478,323,206,112,342,132,112,55,42,476,152,288,597,201,7249,
,"BIKE",21,7,51,90,90,83,79,139,118,89,49,32,46,28,23,9,10,12,11,8,3,12,4,4,0,3,9,4,3,0,0,0,4,0,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,5,0,4,0,0,8,0,0,11,3,11,
,"WALK",442,461,526,397,281,176,128,166,71,35,23,10,23,29,16,5,3,9,3,5,3,3,4,7,0,4,4,3,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,26,19,12,10,6,5,8,15,13,5,0,11,36,13,16,138,60,71,
"Gold_Coast","PT",163,24,56,112,159,175,232,538,759,540,416,414,412,321,316,283,248,172,177,116,106,111,95,66,72,65,42,56,35,36,36,24,28,25,30,40,32,34,32,41,66,130,81,68,51,83,111,142,141,151,186,165,137,151,228,236,160,136,104,433,279,160,61,75,30,13,0,4,5,0,0,0,6,47,69,131,235,438,297,
,"CAR",7724,1276,1792,2511,3366,3964,4394,9720,10060,9801,9226,8851,8252,7832,7733,7705,7136,6478,5704,5093,4614,4327,3673,3340,3265,2935,2710,2452,2210,2159,1990,1894,1627,1527,2552,2126,1974,1625,1496,1337,1257,1157,1122,1030,940,889,849,915,885,864,870,881,821,785,772,805,670,623,574,1347,1142,811,612,660,390,178,69,43,300,104,83,53,67,241,514,842,1343,258,13903,
,"BIKE",33,28,107,166,186,210,185,320,237,177,124,91,85,73,52,34,46,31,27,18,9,12,18,14,5,3,6,0,4,0,0,3,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,3,8,0,3,4,3,0,3,0,3,0,0,0,0,0,3,7,18,7,43,
,"WALK",732,946,1386,1108,697,428,306,405,203,123,61,58,33,17,20,13,18,11,15,4,8,3,7,5,4,5,0,4,6,0,4,0,0,0,9,0,3,3,0,0,0,3,0,0,4,0,7,4,4,5,5,5,0,6,8,9,8,17,5,8,11,6,4,12,10,4,0,0,10,0,4,8,3,40,46,96,220,64,134,
"Darwin","PT",13,18,69,37,61,69,91,159,192,136,80,88,137,124,111,111,114,116,119,70,86,154,140,151,152,192,96,73,498,54,31,52,27,45,42,81,112,332,539,74,14,11,11,4,0,0,5,0,4,0,3,4,0,4,0,0,0,5,0,5,3,15,10,5,4,0,5,0,8,19,9,3,0,0,0,15,126,152,282,
,"CAR",1273,300,717,986,1309,1560,1587,2759,2804,2521,1891,1861,1766,2187,2295,2261,2066,1933,1715,1402,1147,948,954,1164,1211,1334,1212,939,658,322,310,270,332,273,490,481,478,450,515,263,196,167,157,93,59,62,67,46,43,33,34,30,14,10,5,5,15,9,7,6,3,17,4,5,6,6,0,0,15,48,60,56,12,11,9,52,260,405,1729,
,"BIKE",51,14,75,116,139,135,114,146,116,114,64,63,34,37,44,40,29,22,17,17,18,4,3,10,9,10,3,0,0,0,0,0,5,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12,
,"WALK",372,352,685,447,224,109,61,58,32,25,13,9,5,4,11,15,3,8,7,9,4,5,11,44,7,9,5,0,5,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,9,9,11,10,7,4,21,53,95,35,
